id,name,code,numeric_code,state_id/id,type_id/id,division_id/id,region_id/id,country_id/id
hc_base.city_us_ca_02462,Arcadia,ADA,02462,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_00296,Adelanto,ADEL,00296,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_00394,Agoura Hills,AGRH,00394,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_00562,Alameda,ALA,00562,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_00674,Albany,ALB,00674,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_00884,Alhambra,ALH,00884,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_00618,Alamo,ALMO,00618,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_01444,Alturas,ALT,01444,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_01290,Altadena,ALTA,01290,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_01514,Amador,AMA,01514,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_01640,American Canyon,AMCN,01640,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_02000,Anaheim,ANA,02000,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_02042,Anderson,AND,02042,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_01150,Alondra Park,ANDP,01150,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_02112,Angels,ANG,02112,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_02252,Antioch,ANT,02252,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_02364,Apple Valley,APLV,02364,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_02476,Arcata,ARC,02476,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_02553,Arden-Arcade,ARDN,02553,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_02868,Arroyo Grande,ARGD,02868,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_02896,Artesia,ART,02896,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_02924,Arvin,ARV,02924,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_02980,Ashland,ASHD,02980,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_03064,Atascadero,ATAS,03064,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_03092,Atherton,ATN,03092,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_03162,Atwater,ATW,03162,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_03204,Auburn,AUB,03204,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_03274,Avalon,AVA,03274,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_03344,Avocado Heights,AVDH,03344,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_03302,Avenal,AVNL,03302,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_03386,Azusa,AZU,03386,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_03820,Banning,BAN,03820,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_04758,Beaumont,BAU,04758,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
hc_base.city_us_ca_06392,Big Bear Lake,BBL,06392,base.state_us_5,hc_base.place_type_city,hc_base.division_us_9,hc_base.region_us_4,base.us
